84,722,363,3,2,4
1056,761,387,5,7,9
1048,760,434,5,3,7
1010,741,342,3,2,6
1058,706,370,3,2,6
1019,722,457,4,4,6
1042,751,382,3,4,3
989,733,396,4,4,2
1041,741,411,2,3,6
1051,724,377,4,6,3
997,775,351,4,5,3
1026,735,335,3,6,2
1067,743,431,3,1,4
1038,743,456,4,1,2
1034,724,389,4,2,3
1025,750,369,4,5,3
1029,746,392,4,2,3
1000,748,384,3,2,4
1077,729,475,3,9,3
1032,760,362,5,2,2
1005,765,388,3,4,2
987,737,401,3,2,2
1055,728,349,4,3,4
1045,754,339,4,2,4
1043,685,375,4,2,2
1023,749,386,3,3,7
1009,723,357,5,3,5
1052,765,371,4,14,2
1052,719,410,3,4,2
1020,831,283,4,6,2
991,819,353,4,4,3
984,781,429,4,2,3
1049,718,368,3,2,7
1069,728,381,4,5,3
1035,734,364,2,4,4
1058,799,390,3,2,3
975,726,372,3,6,4
1025,778,406,3,2,4
1077,744,364,3,2,2
1038,765,332,3,1,3
1017,766,370,4,3,3
1042,727,378,4,5,3
1055,747,320,4,0,4
1038,717,359,4,7,2
1039,736,376,3,7,9
1010,696,390,4,4,3
1017,707,372,4,1,4
1068,723,341,3,3,5
995,735,348,3,3,5
1030,749,430,4,1,3
1020,739,411,2,3,5
1018,763,305,4,48,2
1071,768,327,5,1,6
995,722,399,3,3,7
1030,758,395,4,9,3
1036,663,360,5,4,2
1009,740,345,4,2,3
985,721,379,3,2,3
1027,752,395,4,2,2
1072,733,364,4,4,7
1086,718,407,4,1,3
1011,737,328,3,4,4
1056,698,363,3,13,7
1053,762,406,3,23,3
1084,744,366,3,3,3
1006,760,284,3,2,3
1062,709,373,4,10,3
1060,737,410,4,2,-52
1000,750,372,4,6,7
1059,737,388,3,4,2
1022,742,393,3,61,3
986,782,341,3,3,4
1011,712,416,3,6,3
1061,750,325,3,11,3
988,701,302,4,5,3
1047,753,405,3,4,4
1029,728,428,4,1,3
1063,748,375,3,1,4
1017,728,376,3,3,3
1016,745,431,4,7,4
1003,744,372,4,2,5
1027,698,430,2,5,2
1008,735,390,3,6,6
1069,656,351,3,15,8
963,763,391,4,-33,3
1013,734,346,3,4,2
1037,748,356,4,2,3
1027,692,330,3,4,3
1007,765,406,6,3,3
1036,737,414,3,3,9
1079,766,453,4,3,4
992,730,358,4,3,2
1059,733,324,4,7,3
1008,751,399,3,6,3
1034,692,392,4,3,2
1012,740,396,3,3,2
1091,719,371,3,2,3
1021,777,448,4,6,2
1031,762,379,4,30,2
1043,753,414,3,6,3
966,752,402,3,2,4
1021,732,372,5,4,2
1012,714,336,3,3,3
999,770,408,4,3,3
955,712,291,5,7,4
1036,758,330,3,3,3
1061,755,370,3,3,6
1092,744,317,3,2,15
1018,708,428,4,15,17
1016,747,375,3,2,6
944,705,345,3,1,4
957,761,374,3,10,2
988,707,448,4,1,2
992,721,394,4,6,4
983,787,677,4,2,3
1042,733,335,3,2,3
947,774,424,4,4,3
1040,687,381,4,1,4
1007,738,363,3,6,3
1059,733,350,3,16,3
996,760,322,3,6,3
1053,750,368,4,1,2
997,692,445,4,4,4
994,739,353,3,3,4
1030,753,356,3,3,10
1019,739,412,3,3,8
1089,773,424,3,4,3
1011,711,390,2,3,3
1081,774,408,4,2,2
1021,764,398,4,3,4
1044,715,351,3,3,2
1048,713,379,4,2,3
1027,706,415,3,5,5
1043,777,379,4,2,3
1073,719,360,4,2,4
1113,800,391,3,4,2
1057,706,341,3,2,4
1067,749,335,3,3,5
1041,674,406,3,7,7
1047,761,355,3,3,2
1124,801,-983,-9,-4,2
1061,760,525,2,0,3
1063,741,423,4,5,3
1061,746,341,4,4,5
1025,695,376,3,4,24
1102,738,326,3,4,4
1066,753,374,3,4,4
1006,742,342,4,2,5
1047,749,323,4,4,5
1027,734,391,4,3,2
1009,759,392,3,3,2
978,746,361,4,6,3
1006,721,335,4,22,3
1034,692,350,3,10,3
978,814,426,4,3,2
983,781,409,4,8,6
1021,761,352,3,1,4
1023,732,402,3,5,4
1048,728,345,3,6,6
1046,750,329,4,7,3
1042,755,266,4,4,6
995,730,372,4,2,8
1048,738,350,4,6,4
981,694,363,4,7,4
1042,768,383,4,17,2
1059,759,380,4,3,3
1026,733,407,4,7,4
1073,792,350,3,3,4
1085,700,335,4,6,3
1062,745,327,4,7,4
1049,740,357,3,1,6
1085,729,406,4,3,4
1051,730,401,3,4,5
1033,718,441,3,2,2
985,773,399,3,2,2
